index,open,high,close,min
1006011,1.15802,1.15815,1.15793,1.15813
1006071,1.15921,1.15926,1.15895,1.15895
1006131,1.15976,1.16027,1.15969,1.16022
1006191,1.16246,1.16254,1.16239,1.16251
1006251,1.16261,1.16261,1.16241,1.16258
1006311,1.16291,1.16304,1.16284,1.16287
1006371,1.16389,1.1639,1.16377,1.16377
1006431,1.16318,1.16318,1.16308,1.16309
1006491,1.16263,1.16265,1.1625,1.16258
1006551,1.16259,1.16259,1.16245,1.16246
1006610,1.16263,1.16308,1.1626,1.16291
1006669,1.16276,1.16289,1.16276,1.16286
1006727,1.16251,1.16267,1.16251,1.16266
1006787,1.16349,1.16361,1.16343,1.16359
1006847,1.1637,1.16374,1.16365,1.16365
1006907,1.16349,1.16354,1.16349,1.16351
1006964,1.16372,1.16374,1.1637,1.16374
1007023,1.1623,1.16253,1.1623,1.16248
1007083,1.16206,1.16215,1.16204,1.16204
1007143,1.16242,1.16275,1.16204,1.16275
1007203,1.16155,1.16175,1.16154,1.16175
1007263,1.16141,1.16141,1.16111,1.16126
1007323,1.16172,1.16172,1.16155,1.16163
1007383,1.16195,1.16306,1.16174,1.16284
1007443,1.16214,1.16238,1.16192,1.16197
1007503,1.1679,1.16839,1.1679,1.16821
1007563,1.16916,1.16916,1.16891,1.16908
1007623,1.16757,1.16757,1.16722,1.16729
1007683,1.16715,1.16718,1.16712,1.16715
1007743,1.16784,1.16786,1.16759,1.16775
1007803,1.16836,1.16852,1.16835,1.16848
1007863,1.16922,1.16931,1.16919,1.1693
1007923,1.16885,1.169,1.16884,1.16899
1007983,1.16893,1.16893,1.16886,1.16893
1008043,1.16888,1.16903,1.16883,1.16893
1008103,1.16901,1.16905,1.16892,1.169
1008163,1.16912,1.16913,1.16897,1.16902
1008223,1.16907,1.1691,1.16906,1.1691
1008283,1.16891,1.16911,1.16891,1.16909
1008343,1.16921,1.16933,1.16921,1.16931
1008403,1.16928,1.16928,1.16923,1.16925
1008463,1.16965,1.16965,1.16954,1.16956
1008523,1.16927,1.1693,1.16923,1.16927
1008583,1.17056,1.17056,1.17033,1.17043
1008643,1.17192,1.17194,1.17178,1.17184
1008703,1.17058,1.1707,1.1705,1.1707
1008763,1.16996,1.16996,1.16978,1.1698
1008823,1.17013,1.17013,1.17007,1.1701
1008883,1.16869,1.16888,1.16869,1.16878
1008943,1.16676,1.16702,1.16635,1.1665
1009003,1.16677,1.16683,1.16665,1.16672
1009063,1.16667,1.16672,1.16633,1.16635
1009123,1.16552,1.16569,1.16498,1.16506
1009183,1.16378,1.16379,1.16249,1.16353
1009243,1.16332,1.16332,1.1632,1.16322
1009303,1.16322,1.16326,1.1632,1.16326
1009363,1.16244,1.16244,1.16234,1.16239
1009422,1.16228,1.16232,1.16228,1.16232
1009478,1.16262,1.16285,1.16253,1.16259
1009537,1.16252,1.16254,1.16249,1.16249
1009597,1.16233,1.16237,1.16224,1.16227
1009657,1.16299,1.1631,1.16299,1.16305
1009717,1.16287,1.16288,1.16282,1.16286
1009777,1.16351,1.16356,1.16349,1.16354
1009837,1.16361,1.16365,1.16357,1.16358
1009897,1.16363,1.16363,1.16337,1.1635
1009957,1.16373,1.16388,1.16371,1.16385
1010017,1.16287,1.1633,1.16286,1.16307
1010077,1.1646,1.16467,1.16455,1.16464
1010137,1.16531,1.16532,1.16501,1.16503
1010197,1.16492,1.16499,1.16475,1.16491
1010257,1.16616,1.16616,1.16599,1.16601
1010317,1.1665,1.16702,1.16648,1.16692
1010377,1.16844,1.16859,1.16836,1.16849
1010437,1.16935,1.16946,1.16922,1.16936
1010497,1.16902,1.16903,1.16887,1.16899
1010557,1.16843,1.16868,1.16843,1.16865
1010617,1.16959,1.16978,1.16947,1.16973
1010677,1.16888,1.16889,1.1688,1.16885
1010737,1.16864,1.16864,1.16852,1.16854
1010797,1.16838,1.16855,1.16835,1.16849
1010856,1.16814,1.16814,1.16814,1.16814
1010915,1.16845,1.16856,1.16845,1.16846
1010975,1.16706,1.16717,1.16703,1.16711
1011035,1.16685,1.16688,1.16682,1.16682
1011094,1.16739,1.16739,1.16723,1.1673
1011154,1.16796,1.16797,1.16782,1.16792
1011214,1.16813,1.16866,1.16813,1.16861
1011274,1.16954,1.16966,1.16953,1.16959
1011334,1.16907,1.16915,1.16907,1.1691
1011394,1.1699,1.16991,1.16982,1.16985
1011454,1.16996,1.17,1.16933,1.1694
1011514,1.16815,1.16827,1.16811,1.16822
1011574,1.16868,1.1687,1.16858,1.1686
1011634,1.16772,1.16781,1.16743,1.16753
1011694,1.16831,1.16846,1.16821,1.16839
1011754,1.17064,1.17076,1.17063,1.17063
1011814,1.17062,1.17142,1.17057,1.17134
1011874,1.1704,1.17041,1.17005,1.17014
1011934,1.16994,1.17019,1.16981,1.16989
1011994,1.16933,1.16942,1.16919,1.16939
1012054,1.16593,1.16597,1.1657,1.16597
1012114,1.16659,1.16662,1.16652,1.16657
1012174,1.16665,1.16665,1.16654,1.16661
1012234,1.16689,1.16696,1.1668,1.16686
1012294,1.16633,1.16633,1.16628,1.16628
1012354,1.16706,1.16706,1.16692,1.16704
1012414,1.16792,1.16794,1.16786,1.1679
1012474,1.16774,1.16785,1.16774,1.16785
1012534,1.16673,1.16679,1.16667,1.16673
1012594,1.16582,1.16583,1.16572,1.16574
1012654,1.16648,1.16653,1.16644,1.16649
1012714,1.1674,1.1674,1.16712,1.16712
1012773,1.16752,1.16758,1.16752,1.16756
1012833,1.16867,1.16867,1.16831,1.16835
1012893,1.16777,1.16778,1.16731,1.16758
1012953,1.17012,1.17012,1.16981,1.16985
1013013,1.17023,1.17023,1.16999,1.16999
1013073,1.16981,1.16981,1.16948,1.16949
1013133,1.16895,1.16929,1.16895,1.16929
1013193,1.16776,1.16796,1.16776,1.16793
1013253,1.1675,1.16754,1.16729,1.16733
1013313,1.16625,1.16661,1.16619,1.16655
1013373,1.16679,1.16698,1.16679,1.16698
1013433,1.16863,1.16871,1.16839,1.16868
1013493,1.16829,1.16831,1.16822,1.16823
1013553,1.16741,1.16749,1.16732,1.16748
1013613,1.16738,1.16745,1.16729,1.16738
1013673,1.16728,1.1673,1.16723,1.16729
1013732,1.1671,1.16712,1.16699,1.167
1013792,1.16713,1.16727,1.16711,1.16727
1013852,1.16705,1.1671,1.16694,1.16697
1013912,1.16738,1.16738,1.16729,1.16733
1013972,1.16809,1.16813,1.16803,1.16804
1014032,1.16838,1.16842,1.16825,1.16842
1014092,1.16835,1.16836,1.16822,1.16828
1014151,1.16781,1.16797,1.16781,1.16791
1014211,1.16785,1.16785,1.16772,1.16775
1014271,1.16839,1.16847,1.16837,1.16847
1014331,1.16839,1.16895,1.16833,1.16884
1014391,1.16969,1.16985,1.16958,1.16965
1014451,1.16914,1.16918,1.16887,1.16889
1014511,1.17038,1.17045,1.17027,1.17031
1014571,1.17206,1.17206,1.17185,1.17191
1014631,1.17583,1.17613,1.17583,1.176
1014691,1.17698,1.17706,1.17672,1.17674
1014751,1.1757,1.17606,1.17564,1.17606
1014811,1.175,1.17525,1.175,1.175
1014871,1.17425,1.1745,1.17419,1.17422
1014931,1.1758,1.17732,1.17573,1.17677
1014991,1.17697,1.17702,1.17682,1.17685
1015051,1.17762,1.17765,1.17746,1.17763
1015111,1.1778,1.17781,1.17772,1.1778
1015171,1.17762,1.17765,1.17762,1.17762
1015227,1.17759,1.17785,1.17752,1.17781
1015286,1.1779,1.1779,1.17782,1.1779
1015345,1.17755,1.17761,1.17754,1.1776
1015405,1.17834,1.17841,1.17826,1.17835
1015465,1.17763,1.1778,1.17762,1.17777
1015524,1.17818,1.17821,1.1781,1.17814
1015583,1.17841,1.17841,1.17834,1.17835
1015643,1.17786,1.17792,1.17784,1.17785
1015703,1.17846,1.17863,1.17835,1.17858
1015763,1.17845,1.17857,1.17802,1.17854
1015823,1.17729,1.17763,1.17719,1.1772
1015883,1.17931,1.17936,1.17905,1.17905
1015943,1.17773,1.17788,1.17759,1.17788
1016003,1.1762,1.1763,1.17617,1.17628
1016063,1.17592,1.17602,1.17582,1.17588
1016123,1.17575,1.17578,1.17546,1.17578
1016183,1.17424,1.17457,1.17414,1.1745
1016243,1.17585,1.17593,1.17572,1.17585
1016303,1.17389,1.17389,1.1735,1.17354
1016363,1.17419,1.17436,1.17418,1.17432
1016423,1.17431,1.17441,1.17427,1.1744
1016483,1.1747,1.17478,1.17467,1.17478
1016543,1.17487,1.17487,1.17474,1.17475
1016602,1.17442,1.17442,1.17442,1.17442
1016661,1.17449,1.1746,1.17449,1.17454
1016719,1.1746,1.17467,1.1746,1.17467
1016779,1.17483,1.17488,1.17475,1.17487
1016839,1.1747,1.17472,1.17453,1.17457
1016899,1.17387,1.17388,1.17373,1.17378
1016959,1.17394,1.17405,1.17394,1.17405
1017019,1.1742,1.1742,1.17397,1.17397
1017079,1.17435,1.17456,1.17435,1.17453
1017139,1.17321,1.17334,1.17321,1.17332
1017199,1.17358,1.17372,1.17344,1.17372
1017259,1.174,1.17455,1.17388,1.17449
1017319,1.17674,1.17682,1.17653,1.17661
1017379,1.17697,1.17703,1.17694,1.17697
1017439,1.17639,1.17655,1.17633,1.17646
1017499,1.17635,1.17648,1.17631,1.17634
1017559,1.17515,1.17516,1.17495,1.17512
1017619,1.17985,1.17986,1.17963,1.1798
1017679,1.17873,1.17896,1.17868,1.17892
1017739,1.17724,1.17748,1.17723,1.17746
1017799,1.17652,1.17658,1.1764,1.1764
1017859,1.17588,1.17605,1.17587,1.17603
1017919,1.17583,1.17584,1.1757,1.17574
1017979,1.17455,1.17471,1.17454,1.17469
1018039,1.17466,1.17488,1.17466,1.17476
1018099,1.17474,1.17485,1.17474,1.17484
1018159,1.17495,1.17496,1.17492,1.17493
1018218,1.17527,1.17535,1.17523,1.17528
1018278,1.17521,1.17522,1.17511,1.17513
1018338,1.17422,1.17425,1.17412,1.17417
1018398,1.1738,1.17387,1.17371,1.17387
1018458,1.17402,1.17402,1.17392,1.17394
1018518,1.17407,1.17408,1.17403,1.17408
1018578,1.17479,1.17479,1.17447,1.17458
1018638,1.17606,1.17606,1.17551,1.17559
1018698,1.1769,1.17692,1.17668,1.17686
1018758,1.17605,1.17625,1.17603,1.17617
1018818,1.17655,1.17655,1.17636,1.17643
1018878,1.17616,1.17643,1.17615,1.1764
1018938,1.17815,1.17819,1.17812,1.17814
1018998,1.17795,1.1781,1.17794,1.17797
1019058,1.17839,1.17878,1.17826,1.17863
1019118,1.17856,1.17859,1.1783,1.17837
1019178,1.17698,1.17705,1.17692,1.17697
1019238,1.17722,1.17733,1.17722,1.17726
1019298,1.17629,1.17631,1.17617,1.17618
1019358,1.1767,1.17675,1.17661,1.17664
1019418,1.17662,1.17674,1.17654,1.17674
1019478,1.17644,1.17646,1.17644,1.17646
1019538,1.17638,1.17664,1.17637,1.17657
1019597,1.17663,1.17663,1.17663,1.17663
1019657,1.1763,1.1763,1.17621,1.17624
1019717,1.17576,1.17602,1.17558,1.17597
1019777,1.17632,1.17638,1.17631,1.17638
1019837,1.17646,1.17651,1.17632,1.1764
1019897,1.17661,1.17663,1.17649,1.17654
1019957,1.17631,1.17633,1.1762,1.17633
1020017,1.17601,1.1762,1.176,1.17619
1020077,1.17615,1.17621,1.17574,1.17621
1020137,1.17668,1.17678,1.17654,1.17678
1020197,1.1767,1.1767,1.17634,1.17648
1020257,1.17647,1.17651,1.17626,1.17628
1020317,1.17492,1.17498,1.17479,1.1748
1020377,1.17363,1.17372,1.17352,1.1737
1020437,1.17406,1.17408,1.17396,1.17396
1020497,1.1734,1.17355,1.17321,1.17342
1020557,1.17483,1.17489,1.17457,1.17461
1020617,1.17566,1.17572,1.17565,1.17568
1020677,1.17517,1.17539,1.17517,1.17529
1020737,1.1765,1.17871,1.1764,1.17731
1020797,1.17599,1.17671,1.17599,1.17653
1020857,1.17465,1.1748,1.17456,1.17457
1020917,1.1738,1.1738,1.1736,1.17363
1020977,1.17419,1.17482,1.17417,1.17451
1021036,1.1749,1.1749,1.1748,1.17482
1021096,1.17468,1.17475,1.17458,1.17471
1021156,1.17538,1.17541,1.17536,1.17536
1021216,1.17417,1.17433,1.17417,1.17433
1021276,1.1746,1.17471,1.17458,1.1746
1021336,1.17508,1.1751,1.17504,1.17508
1021396,1.17492,1.17513,1.17492,1.17509
1021456,1.17034,1.17046,1.17025,1.1704
1021516,1.17065,1.17165,1.17065,1.1707
1021576,1.17023,1.17063,1.16998,1.17058
1021636,1.17111,1.17111,1.17071,1.17084
1021696,1.17057,1.1709,1.17057,1.17071
1021756,1.17194,1.17194,1.17168,1.17189
1021816,1.17031,1.17064,1.17018,1.17064
1021876,1.16746,1.16747,1.16715,1.16722
1021936,1.16825,1.16875,1.16822,1.16866
1021996,1.16756,1.16772,1.16745,1.16758
1022056,1.16694,1.16721,1.16692,1.16721
1022116,1.16731,1.16733,1.1671,1.16712
1022176,1.1665,1.16657,1.16642,1.16649
1022236,1.16584,1.16584,1.1657,1.16577
1022296,1.16498,1.16517,1.16498,1.16517
1022356,1.16399,1.16399,1.16399,1.16399
1022414,1.16385,1.16409,1.16385,1.164
1022474,1.16348,1.16357,1.16347,1.16351
1022534,1.16361,1.16367,1.1636,1.1636
1022594,1.16423,1.16424,1.16412,1.16424
1022654,1.16431,1.16435,1.16423,1.16432
1022714,1.16475,1.16477,1.1647,1.16471
